outcome	n_patients	stage_beta_array_adjusted	stage_beta_hc3_se	stage_beta_hc3_p	stage_beta_within_array_permutation_p	spearman_rho	spearman_p	scar_quantile
AP1_control	32	0.0273821039200299	0.010172492462167696	0.007107197518118905	0.0086	0.5374519880020173	0.001513433619724445	0.8
Endo_resolver	32	0.0003493847026941714	0.006606573037215371	0.9578240077796315	0.9404	0.10749039760040348	0.5581670965831093	0.8
HSC_retention	32	0.046626974826214036	0.0133312526121151	0.00046951937661047496	0.0006	0.7219363831830952	3.104245680338804e-06	0.8
LAM_resolver	32	-0.0032400558013619173	0.01186247872012198	0.7847495937091332	0.6728	0.17676617048472656	0.3331409499116021	0.8
TGFb_integrator	32	0.009794925562630511	0.008501466233983918	0.2492613129524418	0.2315	0.2354999779301309	0.19445031937046797	0.8
retention_dominance	32	0.028604276084634707	0.006620979980231307	1.5585388526538762e-05	0.0001	0.7191126424405276	3.536758197347826e-06	0.8
AP1_control	32	0.027101807448414825	0.008064354956604987	0.000777476722865427	0.0031	0.576607859632287	0.0005518277021802511	0.85
Endo_resolver	32	0.004867035945837325	0.005278949085285155	0.35654390230876665	0.2524	0.20782731865296922	0.25370715805456917	0.85
HSC_retention	32	0.039816541436538455	0.011451005195562691	0.000506827250465214	0.0013	0.7718224696351212	2.3112443403278093e-07	0.85
LAM_resolver	32	-0.005785458185001008	0.010937360088784457	0.5968311564344626	0.4499	0.03143764693391835	0.8643773195012645	0.85
TGFb_integrator	32	0.0074258750898667635	0.006201728999463666	0.23115540854974026	0.3052	0.29517503228972447	0.10098297894972574	0.85
retention_dominance	32	0.02361215809568971	0.007332180757293086	0.001280360162487862	0.0003	0.699534706625393	8.386872100168325e-06	0.85
AP1_control	32	0.020455054538843866	0.005971659971324314	0.0006139968795204316	0.0054	0.517497553421207	0.0024192168825817096	0.9
Endo_resolver	32	0.0050762248180038876	0.0054402851496929356	0.35077832765320105	0.2149	0.21686328902918528	0.23317957987445637	0.9
HSC_retention	32	0.03485167441063468	0.009012544581129888	0.00011017418405479359	0.0009	0.7563860202424189	5.510641591746332e-07	0.9
LAM_resolver	32	-0.003098118653732246	0.009355610000935086	0.7405305072957249	0.6827	0.10485490624067381	0.5679127981510368	0.9
TGFb_integrator	32	0.008609919802780037	0.006251283922089394	0.16841820729591994	0.2236	0.15041125688742973	0.4112519277136885	0.9
retention_dominance	32	0.02051781598324532	0.0050050432272280235	4.141719048646799e-05	0.0002	0.725513121457014	2.6255236182148847e-06	0.9
