scope	unit	array	gene	n_spots	n_detected	detection_fraction	mean_log1p_cp10k
array	VLP115_A	VLP115_A	SERPINE1	1743	128	0.07343660355708548	0.1149063830186287
array	VLP115_A	VLP115_A	SPON1	1743	26	0.01491681009753299	0.021429846309752653
array	VLP115_A	VLP115_A	ITGAV	1743	145	0.0831899024670109	0.12176702252514672
array	VLP115_A	VLP115_A	ITGB5	1743	387	0.22203098106712565	0.3448189205657535
array	VLP115_A	VLP115_A	MMP2	1743	114	0.06540447504302926	0.09792156523346357
array	VLP115_A	VLP115_A	MMP9	1743	43	0.024670109007458405	0.04074311219765666
array	VLP115_A	VLP115_A	MMP14	1743	114	0.06540447504302926	0.09814244479819338
array	VLP115_A	VLP115_A	PLAU	1743	35	0.020080321285140562	0.030161561214545527
array	VLP115_A	VLP115_A	PLAT	1743	58	0.03327596098680436	0.05044234466919236
array	VLP115_A	VLP115_A	TIMP1	1743	682	0.3912794033275961	0.7194803353800365
array	VLP115_A	VLP115_A	TIMP2	1743	390	0.22375215146299485	0.36620098229398906
array	VLP116_D	VLP116_D	SERPINE1	2173	485	0.223193741371376	0.23593190672472342
array	VLP116_D	VLP116_D	SPON1	2173	109	0.050161067648412334	0.05020241509936143
array	VLP116_D	VLP116_D	ITGAV	2173	593	0.27289461573861024	0.2936830295626162
array	VLP116_D	VLP116_D	ITGB5	2173	1065	0.490105844454671	0.5943764933553899
array	VLP116_D	VLP116_D	MMP2	2173	592	0.2724344224574321	0.3258031862150314
array	VLP116_D	VLP116_D	MMP9	2173	69	0.031753336401288544	0.030537347700747484
array	VLP116_D	VLP116_D	MMP14	2173	471	0.21675103543488264	0.22965571558938316
array	VLP116_D	VLP116_D	PLAU	2173	104	0.04786010124252186	0.04737411936828127
array	VLP116_D	VLP116_D	PLAT	2173	122	0.05614358030372756	0.06220044201406732
array	VLP116_D	VLP116_D	TIMP1	2173	1392	0.640589047399908	1.0841585373762346
array	VLP116_D	VLP116_D	TIMP2	2173	867	0.39898757478140817	0.4863514644443044
array	VLP119_A	VLP119_A	SERPINE1	1691	295	0.17445298639858073	0.19115071989405932
array	VLP119_A	VLP119_A	SPON1	1691	44	0.026020106445890007	0.02403182971991623
array	VLP119_A	VLP119_A	ITGAV	1691	278	0.16439976345357776	0.16937301125103138
array	VLP119_A	VLP119_A	ITGB5	1691	666	0.39384979302188056	0.43476853900410334
array	VLP119_A	VLP119_A	MMP2	1691	220	0.13010053222945003	0.13448476730620054
array	VLP119_A	VLP119_A	MMP9	1691	27	0.01596688350088705	0.016611469245232477
array	VLP119_A	VLP119_A	MMP14	1691	279	0.16499112950916617	0.16580882089102714
array	VLP119_A	VLP119_A	PLAU	1691	43	0.0254287403903016	0.02359479807747557
array	VLP119_A	VLP119_A	PLAT	1691	61	0.036073329390892965	0.03338914251678549
array	VLP119_A	VLP119_A	TIMP1	1691	928	0.5487876995860438	0.7434186184082228
array	VLP119_A	VLP119_A	TIMP2	1691	515	0.30455351862803076	0.3328649947906176
array	VLP119_D	VLP119_D	SERPINE1	1255	260	0.20717131474103587	0.2257673270082488
array	VLP119_D	VLP119_D	SPON1	1255	67	0.05338645418326693	0.057231549094341395
array	VLP119_D	VLP119_D	ITGAV	1255	246	0.19601593625498007	0.20609188159163103
array	VLP119_D	VLP119_D	ITGB5	1255	487	0.3880478087649402	0.4353859066836008
array	VLP119_D	VLP119_D	MMP2	1255	210	0.16733067729083664	0.2021850284236509
array	VLP119_D	VLP119_D	MMP9	1255	21	0.016733067729083666	0.021024229453953703
array	VLP119_D	VLP119_D	MMP14	1255	220	0.1752988047808765	0.1888290630023086
array	VLP119_D	VLP119_D	PLAU	1255	37	0.02948207171314741	0.02719658826658725
array	VLP119_D	VLP119_D	PLAT	1255	59	0.04701195219123506	0.04825378845189705
array	VLP119_D	VLP119_D	TIMP1	1255	693	0.552191235059761	0.7495637295925213
array	VLP119_D	VLP119_D	TIMP2	1255	390	0.3107569721115538	0.34972920872489605
array	VLP120_A	VLP120_A	SERPINE1	1884	735	0.39012738853503187	0.2998731934902987
array	VLP120_A	VLP120_A	SPON1	1884	89	0.04723991507430998	0.037116854303497544
