analysis	feature	n_patients	stage_beta_array_adjusted	stage_beta_hc3_se	stage_beta_hc3_p	stage_beta_within_array_permutation_p	spearman_rho	spearman_p	permutation_fdr_within_analysis
scar_coupling	antiproteolytic_brake	32	0.05444868239040168	0.01833442424503473	0.002980408155518311	0.0034	0.6306354325067455	0.00010927119352772126	0.023799999999999998
scar_coupling	clearance_inefficiency	32	0.04130936036772251	0.017591472171352242	0.018861321522339658	0.0134	0.5090263311935044	0.0029275748514700634	0.03126666666666667
scar_coupling	feedback_core	32	0.039802896941248965	0.017020362107774075	0.019358950801726765	0.0112	0.6317649288037724	0.0001052905258438904	0.03126666666666667
scar_coupling	feedback_lock	32	-9.713809785227498e-05	0.015914262011160883	0.995129871103977	0.9944	0.21554554334932047	0.2361013465244376	0.9944
scar_coupling	mechanical_barrier	32	0.0354518311617599	0.030633674077732605	0.2471567444023829	0.2047	0.35296759282093965	0.047530028651929325	0.23881666666666668
scar_coupling	protease_activation_potential	32	0.013139322022679149	0.005294870478747754	0.013082371297548141	0.0661	0.4566930027645864	0.008601901613468734	0.09254000000000001
scar_coupling	proteolysis	32	0.02377861964068983	0.00847301437916501	0.005009933901099763	0.0235	0.493589881800802	0.0040941269405871126	0.041125
barrier_partial_correlation	Endo_resolver	32	0.07628294371304813	0.049502941502102785	0.12332214081136116	0.1497	0.2469831902832388	0.17295091702606863	0.5988
barrier_partial_correlation	HSC_retention	32	-0.03139265338465999	0.054107172099619114	0.5617838395235555	0.4859	-0.23229973842188772	0.20075965875980464	0.7518666666666666
barrier_partial_correlation	LAM_resolver	32	0.022188384719048486	0.04877107565867612	0.6491454487266373	0.5639	0.010918464204594398	0.9527064159255018	0.7518666666666666
barrier_partial_correlation	TGFb_integrator	32	-0.013732500926232717	0.08570706594368831	0.8727030436225922	0.8636	-0.10579615315486297	0.564423332531481	0.8636
biopsy_mean	mechanical_barrier	32	-0.12609889206709873	0.05584507814352326	0.02394487169973643	0.0096	-0.465164224992289	0.007304842584101721	0.010971428571428571
biopsy_mean	feedback_core	32	0.06043934681562625	0.022234477451329993	0.006562396143398023	0.0004	0.6063512621206648	0.00023460119535287125	0.00064
biopsy_mean	proteolysis	32	0.10370881986211569	0.027444357694820377	0.00015753795256113047	0.0001	0.732478348622014	1.8806354814163528e-06	0.0002
biopsy_mean	feedback_lock	32	-0.043269473046489426	0.014499437022905641	0.0028430464060753237	0.0051	-0.47627093857972125	0.0058593495557640275	0.0068000000000000005
biopsy_mean	protease_activation_potential	32	0.08357663461325976	0.02277598097171339	0.0002430181408828607	0.0001	0.7339843436847165	1.7473885911746434e-06	0.0002
biopsy_mean	antiproteolytic_brake	32	0.10013212303190733	0.025552932814997674	8.90589872038529e-05	0.0001	0.6396714028829615	8.08678893946375e-05	0.0002
biopsy_mean	clearance_inefficiency	32	0.016555488418647575	0.024800886036153904	0.5044297154379203	0.348	0.1731894322108077	0.34317098251799566	0.348
biopsy_mean	ECM_scar	32	0.17579958900504214	0.04289874902319988	4.167136522043404e-05	0.0001	0.7373728325757976	1.4784286609293653e-06	0.0002
