patient_cluster	n_blocks	posterior_r	posterior_mae	basin_agreement
UQ_P01	18	0.9991879420492213	0.011755252443531561	1.0
UQ_P02	18	0.9996287775167149	0.02576228524677186	1.0
UQ_P03	18	0.9988535646939767	0.01372337940641629	1.0
UQ_P04	18	0.9991918063698862	0.02113931260772125	1.0
UQ_P05	18	0.9998229727177204	0.006956867871499384	1.0
UQ_P06	18	0.9991605959760486	0.010953444645220405	1.0
UQ_P07	18	0.9998345312019862	0.007573682506165179	1.0
UQ_P08	18	0.9986054485925505	0.003370925660086402	1.0
UQ_P09	18	0.9998404382694749	0.005455574771826183	1.0
UQ_P10	18	0.9995632030009808	0.009527792281557148	1.0
UQ_P11	18	0.9991198148624026	0.005336505087927003	1.0
UQ_P12	18	0.9984989798370727	0.004711216048612845	1.0
UQ_P13	18	0.9973588283064538	0.021241938812591604	1.0
UQ_P14	18	0.9997871401086598	0.003948102711901393	1.0
UQ_P15	18	0.9999548071627666	0.0034429605977579127	1.0
UQ_P16	18	0.9992462212140517	0.011836212108824566	1.0
UQ_P17	17	0.9996880752798438	0.006194993296747116	1.0
UQ_P18	18	0.9998933636472704	0.006996246575601032	1.0
UQ_P19	18	0.9998271887258858	0.003161005572473445	1.0
UQ_P20	18	0.999914740855599	0.005893307655499913	1.0
UQ_SYNC	36	0.99969877831403	0.007856693413276963	0.9722222222222222
UQ_P23	18	0.9995408284454685	0.011656182581219903	1.0
UQ_P24	18	0.9995177558488533	0.0029466797336978093	1.0
UQ_P25	18	0.9985484028527726	0.006175181201634043	1.0
UQ_P26	18	0.9997163102315869	0.005119476204944448	1.0
UQ_P27	18	0.9999116015523938	0.0021939657531435623	1.0
UQ_P28	14	0.9998842009976122	0.005957984200981663	1.0
UQ_P29	18	0.9991511670672834	0.00787170230853576	1.0
UQ_P30	18	0.9981626208911567	0.004243804948108835	1.0
UQ_P31	18	0.9991883806179915	0.007365404218273429	1.0
UQ_P32	18	0.9997093802526721	0.01150316469145693	1.0
UQ_P33	18	0.9996928391301743	0.008125313540540496	1.0
