stage_group	front_mid	n_patients	mean_p_locked	ci_low	ci_high
early	-2.8754999999999997	8	0.7261607014233823	0.5555625987851432	0.873359665870253
early	-2.625	12	0.47155077603799794	0.3429192941384688	0.5938799419141572
early	-2.375	10	0.6186214065789077	0.4676661572179366	0.7460020563279394
early	-2.125	9	0.6574453228839662	0.47419668850785784	0.8332658797602318
early	-1.875	11	0.7110995691656838	0.6743964397636687	0.7547972931497562
early	-1.625	9	0.6283065198772433	0.5316505240031569	0.7180984782643497
early	-1.375	11	0.5659104186880626	0.48134136458662885	0.6293375463618213
early	-1.125	8	0.6718010231966722	0.5934598991421386	0.7690243324091177
early	-0.875	8	0.6576917957177925	0.625501790357894	0.6928501664257481
early	-0.625	7	0.6292284383201068	0.5680995335377256	0.6829231027103226
early	-0.375	12	0.6396172945794848	0.5959377088103076	0.6787850135694261
early	-0.125	10	0.6349765165622123	0.5808762032084139	0.6803475478562216
early	0.125	3	0.6534887923524305	0.5705661637343783	0.7569751665259363
early	0.375	10	0.6768405133686956	0.645621528732496	0.7123590889196016
early	0.625	4	0.6751187814644548	0.6205883477490541	0.714985443355574
early	0.875	1	0.8151883531812958	0.8151883531812958	0.8151883531812958
intermediate	-2.8754999999999997	3	0.7459484882756273	0.5222668452760051	0.9767311813826584
intermediate	-2.625	5	0.7012695145084876	0.5643582235339774	0.839134623982185
intermediate	-2.375	5	0.5402023521534217	0.4342849648029724	0.6342447516762352
intermediate	-2.125	5	0.5966010417509959	0.4568594889599754	0.7363425945420163
intermediate	-1.875	4	0.677931589588767	0.43159641281069516	0.8287527354911735
intermediate	-1.625	4	0.6226821087580785	0.5956805207162981	0.6496836967998588
intermediate	-1.375	4	0.499087556088872	0.29180647539893384	0.6477341478102749
intermediate	-1.125	4	0.6151915154772316	0.5598586726702318	0.6776117072390759
intermediate	-0.875	3	0.713835506902599	0.5424059630690935	0.8719768427020034
intermediate	-0.625	4	0.5813834647024089	0.42915995971224713	0.709639702669713
intermediate	-0.375	3	0.5829225473193699	0.5344523288404402	0.6464317813586623
intermediate	-0.125	4	0.550370917273089	0.4889827952902788	0.6350328191549401
intermediate	0.125	5	0.6266551115936632	0.5441317668374158	0.6874621438186541
intermediate	0.375	3	0.6520514313095719	0.6110382656661744	0.6830057718647664
intermediate	0.625	5	0.7379829215892245	0.6779966603082352	0.8230488801213711
intermediate	0.875	1	0.7819094223619234	0.7819094223619234	0.7819094223619234
late	-2.8754999999999997	9	0.558831702420268	0.345196740701198	0.7554262618736423
late	-2.625	9	0.6740384578797225	0.5140758924048663	0.8032376830793487
late	-2.375	12	0.720567855155383	0.6045538576999062	0.8377164550841054
late	-2.125	12	0.6260219663777413	0.5512352513081612	0.6967705794261613
late	-1.875	12	0.6624525127626049	0.5862675434829941	0.7368678977145419
late	-1.625	13	0.5947738167217733	0.519742372098559	0.6686825408674317
late	-1.375	12	0.6445274178904971	0.5728165440041605	0.7267175667808338
late	-1.125	12	0.6301575413684313	0.5577574188522032	0.7037447106812722
late	-0.875	12	0.6626979378078125	0.6163686725075093	0.7161293826391286
late	-0.625	11	0.6955941315050598	0.6623022562066304	0.7319466277873701
late	-0.375	12	0.7165145781231675	0.6621155356748103	0.7637433568867189
late	-0.125	9	0.734240501746369	0.6787541198797944	0.773781797128853
late	0.125	11	0.6657417791951076	0.6280308545713712	0.7050342183505663
late	0.375	8	0.7791138976866798	0.7363572806450766	0.8376131148085537
late	0.625	10	0.8120579995095987	0.7770226928657918	0.8427254754368232
late	0.875	6	0.8377195160685691	0.7818765932959231	0.8901912878830848
