Variable	All (n=8,142)	LSM <9.5 (n=5,857)	LSM >=9.5 (n=2,285)	SMD
Age, years	44.0 [35.0, 56.0]	42.0 [35.0, 54.0]	48.0 [37.0, 61.0]	0.28664956397919855
Male sex	5,016 (61.6%)	3,509 (59.9%)	1,507 (66.0%)	0.1253133984250813
BMI, kg/m2	25.4 [23.0, 28.0]	24.8 [22.6, 27.2]	27.3 [24.5, 30.7]	0.6828632655864458
CAP, dB/m	273.0 [237.7, 295.6]	266.4 [231.6, 287.7]	290.6 [263.3, 312.3]	0.6305815147602205
LSM, kPa	7.6 [6.1, 9.9]	6.7 [5.7, 7.8]	11.9 [10.5, 14.8]	2.2819493176477317
CAP >=248 dB/m	5,665 (69.6%)	3,804 (64.9%)	1,861 (81.4%)	0.37905841318681954
CAP >=280 dB/m	3,413 (41.9%)	2,013 (34.4%)	1,400 (61.3%)	0.5591635398435819
LSM 9.5-<12.5 kPa	1,322 (16.2%)	0 (0.0%)	1,322 (57.9%)	1.6569812033344042
LSM >=12.5 kPa	963 (11.8%)	0 (0.0%)	963 (42.1%)	1.2070142956210523
Gastro/hepatobiliary	5,856 (71.9%)	4,204 (71.8%)	1,652 (72.3%)	0.01159144050622258
