domain	analyte	endpoint	transform	n_available	n_keys	median_raw	iqr_raw	spearman_rho	spearman_p	analysis_status	adjusted_n	adjusted_n_keys	beta_per_SD	ci_low	ci_high	p_value	model_status	q_value_BH
metabolic	FERR	CAP_dB_per_m	log1p	18	18	483.515	290.1375	0.2818792321950489	0.2571192297222308	model_candidate	18	18					insufficient_n	
metabolic	FERR	log_LSM	log1p	18	18	483.515	290.1375	0.3397006131581359	0.1678372103509573	model_candidate	18	18					insufficient_n	
metabolic	FPG	CAP_dB_per_m	identity	325	325	5.64	1.04	0.1180771768046959	0.033344203002993	model_candidate	325	325	2.408999731875122	0.6855674933930571	4.132431970357187	0.0061509899240171	fit_HC3	0.0221435637264617
metabolic	FPG	log_LSM	identity	325	325	5.64	1.04	0.1716034018024441	0.0019042886746766	model_candidate	325	325	0.0539455209972997	0.0209037157781694	0.08698732621643	0.001374636459796	fit_HC3	0.0061858640690823
metabolic	HDL	CAP_dB_per_m	identity	924	924	1.16	0.33	-0.2358631063772489	3.796667118597679e-13	model_candidate	924	924	-3.078939665757072	-4.464023115966667	-1.6938562155474783	1.3194326505494578e-05	fit_HC3	0.0001187489385494
metabolic	HDL	log_LSM	identity	924	924	1.16	0.33	-0.1281444157092553	9.37998054525605e-05	model_candidate	924	924	-0.0010109246990508	-0.0248213919238832	0.0227995425257816	0.9336809875249972	fit_HC3	0.9336809875249972
metabolic	HbA1c	CAP_dB_per_m	identity	229	229	5.9	0.8999999999999995	-0.0109762642924933	0.8687888911633967	model_candidate	229	229	1.5415674070464656	-1.4933030426635074	4.576437856756439	0.3194606188540635	fit_HC3	0.522753739943013
metabolic	HbA1c	log_LSM	identity	229	229	5.9	0.8999999999999995	0.1036989725725784	0.1176099616108575	model_candidate	229	229	0.0314556450089006	-0.0106917750765433	0.0736030650943445	0.1435306515983882	fit_HC3	0.2870613031967764
metabolic	INS	CAP_dB_per_m	log1p	123	123	120.54	97.45000000000002	0.4270485354245399	8.399082430637776e-07	model_candidate	123	123	0.2961056742954007	-3.092393561921119	3.68460491051192	0.8640095673157642	fit_HC3	0.9336809875249972
metabolic	INS	log_LSM	log1p	123	123	120.54	97.45000000000002	0.3411216158697811	0.0001128938641251	model_candidate	123	123	0.0497072926788269	-0.0156417036744905	0.1150562890321445	0.1360050916931476	fit_HC3	0.2870613031967764
metabolic	LDL	CAP_dB_per_m	identity	924	924	2.915	1.1525	0.0462673348777608	0.1599457580845292	model_candidate	924	924	0.6699954972862141	-0.5400570564981961	1.8800480510706243	0.2778264925465468	fit_HC3	0.5000876865837842
metabolic	LDL	log_LSM	identity	924	924	2.915	1.1525	-0.0077299084605821	0.8144770506714263	model_candidate	924	924	-0.0023921241364233	-0.0216458650789023	0.0168616168060555	0.807610391760442	fit_HC3	0.9336809875249972
metabolic	TC	CAP_dB_per_m	identity	926	926	5.005	1.3475	-0.0177080018459139	0.5904574575553295	model_candidate	926	926	0.3800149489347741	-0.7890815593883702	1.5491114572579183	0.5240684955113957	fit_HC3	0.725633301477317
metabolic	TC	log_LSM	identity	926	926	5.005	1.3475	0.0082099695808637	0.8029754632652933	model_candidate	926	926	0.0079597842351539	-0.0121814531114603	0.0281010215817681	0.4385910838287399	fit_HC3	0.6578866257431099
metabolic	TG	CAP_dB_per_m	log1p	926	926	1.7	1.27	0.2361774448131338	3.3266253341376424e-13	model_candidate	926	926	3.775449540102695	2.5833384234532364	4.967560656752154	5.39159333859818e-10	fit_HC3	9.704868009476725e-09
metabolic	TG	log_LSM	log1p	926	926	1.7	1.27	0.1471884737670016	6.877381289446055e-06	model_candidate	926	926	0.0052534475775693	-0.0158218802449558	0.0263287754000946	0.6251530399315623	fit_HC3	0.8037681941977229
metabolic	UA	CAP_dB_per_m	log1p	662	662	393.0	136.0	0.2755636348018163	5.320071861010089e-13	model_candidate	662	662	2.4849499154789383	1.1046278499750026	3.865271980982874	0.0004179838054818	fit_HC3	0.0025079028328913
metabolic	UA	log_LSM	log1p	662	662	393.0	136.0	0.1226263193248353	0.0015718986355294	model_candidate	662	662	0.0360568938655315	0.0078055103905868	0.0643082773404762	0.0123676136868854	fit_HC3	0.0371028410606564
metabolic	hsCRP	CAP_dB_per_m	log1p	202	202	1.13	2.7575	0.1856935534031413	0.0081479913822019	model_candidate	202	202	-0.1250016371777316	-2.9063290143513263	2.656325739995863	0.9298075509416204	fit_HC3	0.9336809875249972
metabolic	hsCRP	log_LSM	log1p	202	202	1.13	2.7575	0.1955960120757104	0.0052759037467434	model_candidate	202	202	0.0407139150781492	-0.0055182147516405	0.086946044907939	0.0843429333843945	fit_HC3	0.2168818287027288
