domain	analyte	endpoint	transform	n_available	n_keys	median_raw	iqr_raw	spearman_rho	spearman_p	analysis_status	adjusted_n	adjusted_n_keys	beta_per_SD	ci_low	ci_high	p_value	model_status	q_value_BH	section	marker_or_phenotype	n_observed	n_positive	proportion	interpretation
LIS	AFP	CAP_dB_per_m	log1p	143.0	143.0	3.17	2.115	0.0380689304842099	0.6516966423907472	model_candidate	143.0	143.0	-0.2348829659749105	-3.681654414934511	3.21188848298469	0.8937479099383628	fit_HC3	0.9231485924862696	models					
LIS	AFP	log_LSM	log1p	143.0	143.0	3.17	2.115	0.0269132751939098	0.7496740840259845	model_candidate	143.0	143.0	0.052726550765538	-0.021004386942128	0.1264574884732042	0.1610312491391968	fit_HC3	0.3526561675005722	models					
LIS	ALB	CAP_dB_per_m	identity	353.0	353.0	46.1	3.299999999999997	0.1753337430412122	0.0009389745435919	model_candidate	353.0	353.0	3.798140215754064	0.6864246736081845	6.909855757899942	0.0167422570741099	fit_HC3	0.0540144488132959	models					
LIS	ALB	log_LSM	identity	353.0	353.0	46.1	3.299999999999997	-0.0620922316723399	0.2445892342193637	model_candidate	353.0	353.0	-0.0238051047778414	-0.0603070765547977	0.0126968669991149	0.2011757516369345	fit_HC3	0.3623050426662385	models					
LIS	ALP	CAP_dB_per_m	log1p	359.0	359.0	78.0	27.5	0.1280120395478859	0.0152235723489616	model_candidate	359.0	359.0	2.045887495492085	-0.0563135881639889	4.148088579148159	0.0564609643166541	fit_HC3	0.1442891310314494	models					
LIS	ALP	log_LSM	log1p	359.0	359.0	78.0	27.5	0.1189430889845782	0.0242089638843159	model_candidate	359.0	359.0	0.0361073510263411	0.0062928401259948	0.0659218619266875	0.0176134072217269	fit_HC3	0.0540144488132959	models					
LIS	ALT	CAP_dB_per_m	log1p	252.0	252.0	29.0	33.0	0.4616725977839143	1.0450313919516446e-14	model_candidate	252.0	252.0	7.31561294720178	4.866433308191077	9.764792586212485	4.788990939135611e-09	fit_HC3	7.343119440007937e-08	models					
LIS	ALT	log_LSM	log1p	252.0	252.0	29.0	33.0	0.3584986709175937	4.668228577716777e-09	model_candidate	252.0	252.0	0.1041223774557723	0.0589067820304916	0.1493379728810529	6.379626136770071e-06	fit_HC3	4.1923257470203325e-05	models					
LIS	AMA_M2	CAP_dB_per_m	identity	27.0	27.0	2.0	0.0	-0.3275890282588977	0.0953064384242313	marker_registry_only									models					
LIS	AMA_M2	log_LSM	identity	27.0	27.0	2.0	0.0	-0.4580374121110324	0.0162793399565851	marker_registry_only									models					
LIS	AST	CAP_dB_per_m	log1p	360.0	360.0	27.0	14.25	0.3931172126156131	9.405012716567873e-15	model_candidate	360.0	360.0	5.455837088709439	3.540741990451843	7.370932186967035	2.355058646370761e-08	fit_HC3	2.708317443326376e-07	models					
LIS	AST	log_LSM	log1p	360.0	360.0	27.0	14.25	0.4390604444438859	2.134916408553981e-18	model_candidate	360.0	360.0	0.1137283159045289	0.0824466060037524	0.1450100258053055	1.0356932003588813e-12	fit_HC3	4.764188721650853e-11	models					
LIS	BUN	CAP_dB_per_m	log1p	60.0	60.0	5.3	1.4750000000000003	0.0639397574907433	0.6274254267275822	model_candidate	60.0	60.0	4.712409995728271	-1.9973903565269888	11.42221034798353	0.1686616453263606	fit_HC3	0.3526561675005722	models					
LIS	BUN	log_LSM	log1p	60.0	60.0	5.3	1.4750000000000003	0.043368803731205	0.7421394585600869	model_candidate	60.0	60.0	0.0125984461770498	-0.0835135262415665	0.1087104185956661	0.7972452472578462	fit_HC3	0.8528670086944401	models					
LIS	C3	CAP_dB_per_m	identity	11.0	11.0	1.05	0.15	0.2636363636363636	0.4334407376116145	model_candidate	11.0	11.0					insufficient_n		models					
LIS	C3	log_LSM	identity	11.0	11.0	1.05	0.15	-0.1181818181818181	0.7292847795197801	model_candidate	11.0	11.0					insufficient_n		models					
LIS	C4	CAP_dB_per_m	identity	11.0	11.0	0.26	0.08	-0.5636363636363637	0.0709517344763755	model_candidate	11.0	11.0					insufficient_n		models					
LIS	C4	log_LSM	identity	11.0	11.0	0.26	0.08	-0.4000000000000001	0.22286835013352	model_candidate	11.0	11.0					insufficient_n		models					
LIS	CIV	CAP_dB_per_m	log1p	82.0	82.0	42.965	14.112499999999995	0.1723207191911276	0.1216030067549916	model_candidate	82.0	82.0	-2.175851684073121	-9.097133483851064	4.745430115704821	0.5377914099301815	fit_HC3	0.7276001428467161	models					
LIS	CIV	log_LSM	log1p	82.0	82.0	42.965	14.112499999999995	0.2598905105516919	0.0183761126824592	model_candidate	82.0	82.0	0.0506682254984322	-0.0158999721825305	0.1172364231793949	0.135745833307236	fit_HC3	0.312215416606643	models					
LIS	GGT	CAP_dB_per_m	log1p	359.0	359.0	32.0	34.5	0.4251519613702924	3.434604028119936e-17	model_candidate	359.0	359.0	5.84321226960578	3.5044557290291	8.18196881018246	9.73966330123297e-07	fit_HC3	8.09946555285308e-06	models					
LIS	GGT	log_LSM	log1p	359.0	359.0	32.0	34.5	0.3788566477571091	1.068540010429262e-13	model_candidate	359.0	359.0	0.1000324012629477	0.067885822561424	0.1321789799644714	1.0677727162340961e-09	fit_HC3	2.4558772473384207e-08	models					
LIS	GLU	CAP_dB_per_m	identity	60.0	60.0	5.495	0.7649999999999988	0.0049463680625693	0.9700794579835168	model_candidate	60.0	60.0	2.49558367382701	-1.368513908372429	6.359681256026449	0.2055773365767308	fit_HC3	0.3623050426662385	models					
LIS	GLU	log_LSM	identity	60.0	60.0	5.495	0.7649999999999988	0.3147612980040618	0.0143073202696777	model_candidate	60.0	60.0	0.0514908396504008	-0.1194238445104448	0.2224055238112465	0.5548748175482293	fit_HC3	0.72926404592053	models					
LIS	HA	CAP_dB_per_m	log1p	82.0	82.0	82.35	65.275	0.0451136821360922	0.6873490635027333	model_candidate	82.0	82.0	-1.105839176458213	-6.976460888029675	4.764782535113249	0.7119822839758942	fit_HC3	0.8397739759715677	models					
LIS	HA	log_LSM	log1p	82.0	82.0	82.35	65.275	0.2659476050652389	0.0157374262003172	model_candidate	82.0	82.0	0.1414715217411933	0.0846615919635549	0.1982814515188316	1.0564520286330106e-06	fit_HC3	8.09946555285308e-06	models					
LIS	HBsAg	CAP_dB_per_m	identity	156.0	156.0	82.925	958.5825	-0.3195453365624728	4.779627746087301e-05	marker_registry_only									models					
LIS	HBsAg	log_LSM	identity	156.0	156.0	82.925	958.5825	-0.2606830449952498	0.001013462724895	marker_registry_only									models					
LIS	IBIL	CAP_dB_per_m	log1p	354.0	354.0	8.8	5.1	-0.0968002516900338	0.0688933638093316	model_candidate	354.0	354.0	-0.368585474804431	-2.794289146451824	2.057118196842961	0.7658433217287924	fit_HC3	0.8496984640316505	models					
LIS	IBIL	log_LSM	log1p	354.0	354.0	8.8	5.1	-0.0797095953134781	0.1344439186825327	model_candidate	354.0	354.0	-0.0045311583802979	-0.0357161584040512	0.0266538416434553	0.7758116410723765	fit_HC3	0.8496984640316505	models					
LIS	INR	CAP_dB_per_m	log1p	10.0	10.0	1.045	0.1300000000000001	-0.0303952771840032	0.9335717251179998	model_candidate	10.0	10.0					insufficient_n		models					
LIS	INR	log_LSM	log1p	10.0	10.0	1.045	0.1300000000000001	0.3282689935872349	0.3544183270183251	model_candidate	10.0	10.0					insufficient_n		models					
LIS	IgG	CAP_dB_per_m	identity	14.0	14.0	13.83	4.452500000000001	-0.2923076923076923	0.310526320385882	model_candidate	14.0	14.0					insufficient_n		models					
LIS	IgG	log_LSM	identity	14.0	14.0	13.83	4.452500000000001	-0.5868131868131868	0.0273843755310877	model_candidate	14.0	14.0					insufficient_n		models					
LIS	IgM	CAP_dB_per_m	identity	14.0	14.0	1.09	1.2175	-0.3538461538461538	0.2145398708812465	model_candidate	14.0	14.0					insufficient_n		models					
LIS	IgM	log_LSM	identity	14.0	14.0	1.09	1.2175	-0.0021978021978021	0.9940505286658996	model_candidate	14.0	14.0					insufficient_n		models					
LIS	LN	CAP_dB_per_m	log1p	82.0	82.0	60.52	31.054999999999996	-0.0779490751585597	0.4863769852150775	model_candidate	82.0	82.0	-2.314478500212348	-8.004315385755561	3.3753583853308653	0.425298500201116	fit_HC3	0.6113665940391043	models					
LIS	LN	log_LSM	log1p	82.0	82.0	60.52	31.054999999999996	0.3403660189100305	0.0017551527491052	model_candidate	82.0	82.0	0.0804425023618761	0.0173602650211443	0.1435247397026078	0.0124422375183542	fit_HC3	0.0476952438203581	models					
LIS	LYM	CAP_dB_per_m	log1p	121.0	121.0	1.9	0.8799999999999999	0.1716348147327369	0.059784521332903	model_candidate	121.0	121.0	3.0829695549290634	-0.8416455687509554	7.007584678609082	0.1236472058714838	fit_HC3	0.2993563931625398	models					
LIS	LYM	log_LSM	log1p	121.0	121.0	1.9	0.8799999999999999	-0.1076134604836156	0.2400443009537387	model_candidate	121.0	121.0	-0.0379956180822967	-0.0971161810897377	0.0211249449251442	0.2078028177733065	fit_HC3	0.3623050426662385	models					
LIS	MONO	CAP_dB_per_m	log1p	121.0	121.0	0.42	0.21	0.2138651858157582	0.0185018574489087	model_candidate	121.0	121.0	6.895786082449838	3.5397910469189804	10.251781117980697	5.642863317081359e-05	fit_HC3	0.0003244646407321	models					
