gene	progression_logFC	progression_FDR	regression_logFC	regression_FDR	residual_logFC	residual_FDR	fate
Axl	0.400045696412429	0.0794064413706963	-0.127130435918959	0.9553743239555	0.27291526049347	0.236034467661984	partial_or_other
Cd9	0.227060110794507	0.502370443704182	0.509432957080831	0.223348361388132	0.736493067875338	0.00559473051553818	partial_or_other
Gpnmb	2.31256604940577	0.000273635988336964	0.551754488609413	0.666887328081388	2.86432053801519	2.55830926588911e-05	persistent
Lpl	2.0714526298507	4.3490987637186e-06	0.183261989270152	0.958895050253119	2.25471461912085	1.18502929318362e-06	persistent
Mertk	0.22621794735624	0.58776419757837	-0.244424245372988	0.9071932506218	-0.0182062980167482	0.977727681977691	partial_or_other
Mmp12	1.13406641706919	0.402180272195103	0.0794818213385856	0.992853100429507	1.21354823840778	0.346541150965689	partial_or_other
Mmp13	-1.36835105939596	0.0463685886878495	0.215421973856233	0.981129219113887	-1.15292908553972	0.0815011160318366	persistent
Mmp14	0.681728733685143	0.0375904031680706	0.0811611637574592	0.981587098973717	0.762889897442602	0.0147834665937223	persistent
Plau	0.699590016224927	0.615247376381877	-0.581848429035754	0.922021924637192	0.117741587189173	0.953533517907656	partial_or_other
Spp1	3.21991327267328	0.0588029809010908	-0.0257362626578536	0.995306561130045	3.19417701001543	0.0498652007852925	persistent
Trem2	1.50071709782086	1.03768240390694e-05	-0.133641606334171	0.965574707396927	1.36707549148669	3.21407577976862e-05	persistent
