gene_upper	metadata_logFC	metadata_PValue	metadata_FDR	supplement_swap_logFC	supplement_swap_PValue	supplement_swap_FDR	author_AvsQ_ATAC_logFC	author_MASH_ATAC_logFC	author_AvsQ_RNA_logFC	author_MASH_RNA_logFC	author_sum_sig	mouse_progression_logFC	mouse_progression_FDR	mouse_regression_logFC	mouse_regression_FDR	mouse_residual_logFC	mouse_residual_FDR	mouse_fate	human_positive_both	human_nominal_both	human_fdr_any_010	author_four_way	mouse_positive_residual	mouse_persistent	cross_species_direction	functional_support	evidence_score	classification
ITGB5	1.05424133461338	0.0001806092990656	0.108955765289858	1.17719677021911	1.21042719671754e-05	0.0425989678098127	0.466764723588261	0.837096884456037	0.465930153485812	0.389735853712782	4.0	1.58662751475966	0.0002098827230918	-0.386468516198412	0.123719261134278	1.20015899856125	0.0025612869102069	persistent	True	True	True	True	True	True	True		8	pathogenic_retention_candidate
GAS7	1.07711309875626	0.0492159215827199	0.399082619839385	1.23399512036119	0.0239036884350526	0.348898908348731	1.36592457612505	0.74731807988063	0.489306469996915	0.229015811175576	4.0	0.984764604933978	0.0064637643524442	-0.0711443793075217	0.798072484786645	0.913620225626457	0.011142220546085	persistent	True	True	False	True	True	True	True	human HSC knockdown validation in source study	8	pathogenic_retention_candidate
PDGFRA	0.937365343909443	0.0006635789960707	0.142837651901635	0.784895380231324	0.0040732521849441	0.252666933151519	1.02950693751959	0.9567502435360881	0.165163604665687	0.189616921066512	4.0	0.718216279417522	0.0541010386427358	0.236973023816328	0.456045215945088	0.95518930323385	0.0162164148855272	persistent	True	True	False	True	True	True	True		7	pathogenic_retention_candidate
LAMA2	1.1858195989361	0.0035524088075787	0.21424167471499	0.993327864523985	0.0182955529481693	0.32629129734252	1.38890093232762	1.19334058502503	0.273487146630184	0.3207278078773211	4.0	1.5859683847365	0.0007344470331519	0.0679050528743566	0.828789416295883	1.65387343761085	0.0017468801289819	persistent	True	True	False	True	True	True	True		7	pathogenic_retention_candidate
EPHA3	1.04370000694517	0.0250314023927625	0.330087379345907	1.22095541993387	0.0077154178275486	0.287862310479138	0.197530112910686	0.642974495981332	0.412151025631747	0.44603765323195	4.0	1.21785810640433	0.0048685397476733	0.0419456944124641	0.904055886651525	1.2598038008168	0.0055480039049741	persistent	True	True	False	True	True	True	True		7	pathogenic_retention_candidate
DPYSL3	1.07076725137751	0.0272254523919376	0.333442469818192	1.04383218196513	0.0320566095748477	0.375031405408838	0.667885088960418	1.10550617159853	0.329564500167796	0.22683329701974	4.0	1.92745179728639	0.004443943068618	0.0481095999190225	0.914735097421847	1.97556139720541	0.0054112349661332	persistent	True	True	False	True	True	True	True		7	pathogenic_retention_candidate
SVEP1	0.648878023266899	0.0272471016939557	0.333442469818192	0.732344716572826	0.0110715611820149	0.302570357129259	0.88314075040156	0.350518962474868	0.0950394853519925	0.2644014464187889	4.0	3.26397038725032	2.19248200951623e-05	-0.552978377103475	0.0703518890503919	2.71099201014684	0.0002725960561753	persistent	True	True	False	True	True	True	True		7	pathogenic_retention_candidate
ART4	1.28427041888014	0.0025923824966387	0.205792288718135	0.950796281185655	0.03372628641496	0.376543096535729			0.294088370281929	0.2814068240495231	2.0	0.519222675439387	0.0644356815345982	0.773325546274952	0.0074780519466736	1.29254822171434	0.0017468801289819	persistent	True	True	False	False	True	True	True		6	residual_state_candidate
LTBP2	1.81875209039086	0.004707963094979	0.221799407601324	1.86765415759983	0.0037488632661329	0.243764662040058	1.60813015044577	1.61659605968109	0.413637227704104	0.263516508082122	4.0	4.05444497329326	0.0003313871346681	-2.70192582080412	0.0020014802892984	1.35251915248914	0.0856576432905506	reversed	True	True	False	True	True	False	True	human HSC knockdown validation in source study	6	residual_state_candidate
SETBP1	0.884862880063695	0.0054632365420085	0.229265285907992	0.890022160820566	0.0051460200076148	0.265121723850427		0.9514200157917521	0.821444104220495	0.5420152848259709	3.0	1.58340331927088	0.0002635483033429	-0.50475461378502	0.0498971006576027	1.07864870548586	0.0044383732723579	persistent	True	True	False	False	True	True	True		6	residual_state_candidate
TMSB4X	0.904208307980917	0.0081802318983977	0.252534761354631	0.836376516254334	0.0157693132922904	0.320853404849916		0.467881220463073		0.0753219872908709	2.0	0.705841380843267	0.0505999727403423	0.316231987114745	0.30529642821598	1.02207336795801	0.0104988219400673	persistent	True	True	False	False	True	True	True		6	residual_state_candidate
PTK7	1.4992577942657	0.0088416114076308	0.258484471839641	1.80825320417199	0.0015633153652434	0.207460921631778		2.17688032869393		0.139026463449753	2.0	1.69323628916019	0.0006376029261132	-0.823816259335002	0.0154742191171605	0.869420029825189	0.0248774099173533	persistent	True	True	False	False	True	True	True		6	residual_state_candidate
OXCT1	1.00981583767964	0.0136035863056168	0.292253024645663	0.859588141963434	0.0353250998990113	0.37720666979567				0.0610120572875744	1.0	1.15630559724161	0.0231696895801545	-0.319996836185589	0.40081978681569	0.836308761056024	0.0757902938092001	persistent	True	True	False	False	True	True	True		6	residual_state_candidate
ABCA9	0.809226190123158	0.0138522131372605	0.294366420705352	0.695297892530096	0.038083630768848	0.379484931484566			0.184062651901247	0.3524660683094171	2.0	0.795895424703419	0.0317578786979009	0.116391624019639	0.700725230312914	0.912287048723058	0.0175042935373766	persistent	True	True	False	False	True	True	True		6	residual_state_candidate
GALNT17	1.14326042871125	0.0159224287316726	0.29965954108556	1.22558611128103	0.0095693432060207	0.298763048903795		1.45064213452204	0.476726310916713	0.3747501618189329	3.0	5.70938316122909	5.28614004143302e-05	-1.18199997944472	0.015208253927927	4.52738318178438	0.0017468801289819	persistent	True	True	False	False	True	True	True		6	residual_state_candidate
TGFBR1	0.742127293051646	0.0188061678101942	0.309473467285879	0.96205656249271	0.0014280175557162	0.206339143280147				0.117322039513451	1.0	1.01873173421747	0.0069674076698626	-0.290182156322375	0.296212934090321	0.728549577895095	0.0322061798655977	persistent	True	True	False	False	True	True	True		6	residual_state_candidate
PPIL3	0.584473852672128	0.0191961801870489	0.311453903000669	0.507718510541711	0.04404596427171	0.393650849907072				0.016416209448206	1.0	0.877832194277479	0.0443436778623711	-0.132431206760716	0.694684607133917	0.745400987516763	0.0710172350507653	persistent	True	True	False	False	True	True	True		6	residual_state_candidate
LUM	1.46134780951416	0.0245233209543114	0.32844355033163	2.10679534599419	0.0011060845888678	0.187272944881803		1.60102150399466		0.0536311810047223	2.0	1.65641616022194	0.0002548708339715	0.337990089472899	0.192410040781385	1.99440624969484	0.0003572164450804	persistent	True	True	False	False	True	True	True		6	residual_state_candidate
