marker	comparison	beta_sd	se	ci_low	ci_high	p_value	fdr
CD16+CD56+	acute-inflammatory vs metabolic-dominant	-0.14666006396148593	0.2683339857510778	-0.6725946760335983	0.37927454811062655	0.5846824883915371	0.7016189860698445
CD16+CD56+	oncology/hematology vs metabolic-dominant	0.39061227244963154	0.5442039687442578	-0.6760275062891139	1.4572520511883769	0.472900258640613	0.6305336781874841
CD3+	acute-inflammatory vs metabolic-dominant	-0.25835179272717246	0.16892402605766038	-0.5894428838001868	0.07273929834584186	0.12616621111370663	0.2530883277172732
CD3+	oncology/hematology vs metabolic-dominant	1.2260139487029411	0.4051150350145328	0.4319884800744569	2.020039417331425	0.002475376001673465	0.00990150400669386
CD3+CD4+	acute-inflammatory vs metabolic-dominant	-0.27342138760708357	0.21135316577450636	-0.6876735925251161	0.14083081731094887	0.19577920698013718	0.2999190057245083
CD3+CD4+	oncology/hematology vs metabolic-dominant	0.8529401575698635	0.3742020068510532	0.11950422414179929	1.5863760909979279	0.022645821470844794	0.06793746441253438
CD3+CD8+	acute-inflammatory vs metabolic-dominant	-0.20939837620297766	0.1633748077766457	-0.5296129994452032	0.11081624703924789	0.19994600381633887	0.2999190057245083
CD3+CD8+	oncology/hematology vs metabolic-dominant	1.358370740463045	0.3989901587400898	0.5763500293324689	2.140391451593621	0.0006627998104214205	0.003976798862528523
CD3-CD19+	acute-inflammatory vs metabolic-dominant	0.6010576608864046	0.3933951347741961	-0.16999680327101974	1.3721121250438288	0.1265441638586366	0.2530883277172732
CD3-CD19+	oncology/hematology vs metabolic-dominant	-0.06976535880566462	0.49579341396348237	-1.04152045017409	0.9019897325627608	0.888095431640763	0.888095431640763
CD4/CD8	acute-inflammatory vs metabolic-dominant	0.07430360348005514	0.24762790542135202	-0.4110470911457948	0.5596542981059051	0.7641302369214281	0.8335966220961034
CD4/CD8	oncology/hematology vs metabolic-dominant	-1.1588741362064725	0.3338874938701162	-1.8132936241919002	-0.5044546482210448	0.0005188095134174992	0.003976798862528523
