early_retention_weight	resolver_weight	penalty_weight	forward_score	order_advantage	basin_switch_index	rank	n_pairs
0.25	0.35	1.0	0.7246761919671876	0.4179434199507038	0.844314381270903	36	299
0.25	0.35	1.5	0.7246761919671876	0.4179434199507038	0.84314381270903	37	299
0.25	0.35	2.0	0.7246761919671876	0.4179434199507038	0.8419732441471572	37	299
0.25	0.5	1.0	0.9043628719842267	0.47952845282409157	0.8745819397993311	30	299
0.25	0.5	1.5	0.9043628719842267	0.47952845282409157	0.8745819397993311	29	299
0.25	0.5	2.0	0.9043628719842267	0.47952845282409157	0.8745819397993311	28	299
0.25	0.65	1.0	1.084049552001266	0.5411134856974796	0.8929765886287626	25	299
0.25	0.65	1.5	1.084049552001266	0.5411134856974796	0.8929765886287626	25	299
0.25	0.65	2.0	1.084049552001266	0.5411134856974796	0.8929765886287626	25	299
0.5	0.35	1.0	0.7126256437092605	0.3265284166464375	0.8093645484949834	37	299
0.5	0.35	1.5	0.7126256437092605	0.3265284166464375	0.8081939799331104	37	299
0.5	0.35	2.0	0.7126256437092605	0.3265284166464375	0.8058528428093645	38	299
0.5	0.5	1.0	0.8923123237262998	0.3881134495198255	0.8724080267558529	24	299
0.5	0.5	1.5	0.8923123237262998	0.3881134495198255	0.8724080267558529	24	299
0.5	0.5	2.0	0.8923123237262998	0.3881134495198255	0.8712374581939799	24	299
0.5	0.65	1.0	1.071999003743339	0.4496984823932133	0.8874581939799331	23	299
0.5	0.65	1.5	1.071999003743339	0.4496984823932133	0.8862876254180603	23	299
0.5	0.65	2.0	1.071999003743339	0.4496984823932133	0.8851170568561874	23	299
0.75	0.35	1.0	0.7005750954513333	0.23511341334217117	0.7570234113712374	46	299
0.75	0.35	1.5	0.7005750954513333	0.23511341334217117	0.7546822742474917	46	299
0.75	0.35	2.0	0.7005750954513333	0.23511341334217117	0.7523411371237458	46	299
0.75	0.5	1.0	0.8802617754683726	0.2966984462155591	0.8397993311036789	27	299
0.75	0.5	1.5	0.8802617754683726	0.2966984462155591	0.8362876254180602	28	299
0.75	0.5	2.0	0.8802617754683726	0.2966984462155591	0.8351170568561873	28	299
0.75	0.65	1.0	1.0599484554854117	0.35828347908894687	0.8854515050167224	20	299
0.75	0.65	1.5	1.0599484554854117	0.35828347908894687	0.8842809364548496	20	299
0.75	0.65	2.0	1.0599484554854117	0.35828347908894687	0.8819397993311038	20	299
