pseudobulk	sample	cell_type	condition	n_cells
GSM8944960__B_cell	GSM8944960	B_cell	control	99
GSM8944960__Cholangiocyte	GSM8944960	Cholangiocyte	control	135
GSM8944960__Endothelial	GSM8944960	Endothelial	control	1398
GSM8944960__HSC_Mesenchymal	GSM8944960	HSC_Mesenchymal	control	574
GSM8944960__Hepatocyte	GSM8944960	Hepatocyte	control	3385
GSM8944960__Myeloid	GSM8944960	Myeloid	control	654
GSM8944960__T_NK	GSM8944960	T_NK	control	78
GSM8944961__B_cell	GSM8944961	B_cell	control	205
GSM8944961__Cholangiocyte	GSM8944961	Cholangiocyte	control	90
GSM8944961__Endothelial	GSM8944961	Endothelial	control	1668
GSM8944961__HSC_Mesenchymal	GSM8944961	HSC_Mesenchymal	control	590
GSM8944961__Hepatocyte	GSM8944961	Hepatocyte	control	2624
GSM8944961__Myeloid	GSM8944961	Myeloid	control	642
GSM8944961__T_NK	GSM8944961	T_NK	control	185
GSM8944962__B_cell	GSM8944962	B_cell	control	77
GSM8944962__Cholangiocyte	GSM8944962	Cholangiocyte	control	96
GSM8944962__Endothelial	GSM8944962	Endothelial	control	1469
GSM8944962__HSC_Mesenchymal	GSM8944962	HSC_Mesenchymal	control	704
GSM8944962__Hepatocyte	GSM8944962	Hepatocyte	control	3421
GSM8944962__Myeloid	GSM8944962	Myeloid	control	815
GSM8944962__T_NK	GSM8944962	T_NK	control	135
GSM8944963__B_cell	GSM8944963	B_cell	fibrosis	304
GSM8944963__Cholangiocyte	GSM8944963	Cholangiocyte	fibrosis	689
GSM8944963__Endothelial	GSM8944963	Endothelial	fibrosis	1187
GSM8944963__HSC_Mesenchymal	GSM8944963	HSC_Mesenchymal	fibrosis	756
GSM8944963__Hepatocyte	GSM8944963	Hepatocyte	fibrosis	1501
GSM8944963__Myeloid	GSM8944963	Myeloid	fibrosis	1850
GSM8944963__T_NK	GSM8944963	T_NK	fibrosis	316
GSM8944964__B_cell	GSM8944964	B_cell	fibrosis	383
GSM8944964__Cholangiocyte	GSM8944964	Cholangiocyte	fibrosis	535
GSM8944964__Endothelial	GSM8944964	Endothelial	fibrosis	1279
GSM8944964__HSC_Mesenchymal	GSM8944964	HSC_Mesenchymal	fibrosis	642
GSM8944964__Hepatocyte	GSM8944964	Hepatocyte	fibrosis	1440
GSM8944964__Myeloid	GSM8944964	Myeloid	fibrosis	1525
GSM8944964__T_NK	GSM8944964	T_NK	fibrosis	395
GSM8944965__B_cell	GSM8944965	B_cell	fibrosis	204
GSM8944965__Cholangiocyte	GSM8944965	Cholangiocyte	fibrosis	823
GSM8944965__Endothelial	GSM8944965	Endothelial	fibrosis	953
GSM8944965__HSC_Mesenchymal	GSM8944965	HSC_Mesenchymal	fibrosis	670
GSM8944965__Hepatocyte	GSM8944965	Hepatocyte	fibrosis	1328
GSM8944965__Myeloid	GSM8944965	Myeloid	fibrosis	1166
GSM8944965__T_NK	GSM8944965	T_NK	fibrosis	211
GSM8944966__B_cell	GSM8944966	B_cell	regression	156
GSM8944966__Cholangiocyte	GSM8944966	Cholangiocyte	regression	140
GSM8944966__Endothelial	GSM8944966	Endothelial	regression	796
GSM8944966__HSC_Mesenchymal	GSM8944966	HSC_Mesenchymal	regression	455
GSM8944966__Hepatocyte	GSM8944966	Hepatocyte	regression	915
GSM8944966__Myeloid	GSM8944966	Myeloid	regression	587
GSM8944966__T_NK	GSM8944966	T_NK	regression	122
GSM8944967__B_cell	GSM8944967	B_cell	regression	197
GSM8944967__Cholangiocyte	GSM8944967	Cholangiocyte	regression	224
GSM8944967__Endothelial	GSM8944967	Endothelial	regression	1093
GSM8944967__HSC_Mesenchymal	GSM8944967	HSC_Mesenchymal	regression	594
GSM8944967__Hepatocyte	GSM8944967	Hepatocyte	regression	1507
GSM8944967__Myeloid	GSM8944967	Myeloid	regression	706
GSM8944967__T_NK	GSM8944967	T_NK	regression	124
GSM8944968__B_cell	GSM8944968	B_cell	regression	229
GSM8944968__Cholangiocyte	GSM8944968	Cholangiocyte	regression	205
GSM8944968__Endothelial	GSM8944968	Endothelial	regression	1004
GSM8944968__HSC_Mesenchymal	GSM8944968	HSC_Mesenchymal	regression	545
GSM8944968__Hepatocyte	GSM8944968	Hepatocyte	regression	1015
GSM8944968__Myeloid	GSM8944968	Myeloid	regression	629
GSM8944968__T_NK	GSM8944968	T_NK	regression	185
