state_slug	target	matched_control	donor	adjusted_embedding_rescue	adjusted_fra_decoder_rescue
hsc_myofibroblast	EFEMP1	TMEM176A	cirrhotic1	0.0011578288	0.01946711677555868
hsc_myofibroblast	EFEMP1	TMEM176A	cirrhotic2	-0.0009997817	0.026969526747961936
hsc_myofibroblast	EFEMP1	TMEM176A	cirrhotic3	-0.00030027478	-0.0015007396529351051
hsc_myofibroblast	EFEMP1	TMEM176A	cirrhotic5	-2.85566e-05	0.05558516030820707
hsc_myofibroblast	FOS	GAPDH	cirrhotic1	-0.0028609224	-0.03526657566221224
hsc_myofibroblast	FOS	GAPDH	cirrhotic2	-0.0023254557	-0.04395949808504241
hsc_myofibroblast	FOS	GAPDH	cirrhotic3	0.0024843425	-0.041259636862735934
hsc_myofibroblast	FOS	GAPDH	cirrhotic4	-0.0053032795	-0.046979190898127854
hsc_myofibroblast	FOS	GAPDH	cirrhotic5	0.0006780862	-0.040854536921768964
hsc_myofibroblast	JUN	MT1E	cirrhotic1	0.003696541	0.013306128924402099
hsc_myofibroblast	JUN	MT1E	cirrhotic2	0.0028939417	0.00709482152795985
hsc_myofibroblast	JUN	MT1E	cirrhotic3	0.0022834002	0.026914646378097297
hsc_myofibroblast	JUN	MT1E	cirrhotic4	-0.00050115585	-0.0002460518800136116
hsc_myofibroblast	JUN	MT1E	cirrhotic5	-0.0023683268	-0.00984182907268405
hsc_myofibroblast	PDGFRA	IL1R1	cirrhotic1	0.0006384531	-0.007199573754901808
hsc_myofibroblast	PDGFRA	IL1R1	cirrhotic2	-6.453368e-05	0.007830033136997372
hsc_myofibroblast	PDGFRA	IL1R1	cirrhotic3	0.0008735731	0.0002724246455944099
hsc_myofibroblast	PDGFRA	IL1R1	cirrhotic5	-0.0025049231	0.018146433518268168
