scenario	excluded_array	metric	n_units	n_biopsies	n_patients	n_arrays	stage_beta_array_adjusted	stage_beta_se_hc3	hc3_p_value	patient_cluster_p_value	within_array_permutation_p	spearman_rho	spearman_p_value	permutation_fdr
leave_out_VLP115_A	VLP115_A	locked_fraction	29	29	28	7	0.03262556681852455	0.008336876522408979	9.100404945808159e-05	1.7687848986725443e-06	0.0005	0.5993559493782807	0.0005907285992296048	0.001
leave_out_VLP115_A	VLP115_A	largest_locked_domain_fraction	29	29	28	7	0.09671516625708296	0.026920812247389035	0.0003274203403339323	4.6950096540099895e-06	0.0015	0.6690661230101413	7.239973658932e-05	0.0015
leave_out_VLP115_A	VLP115_A	locked_domain_coherence	29	29	28	7	0.10057500236596774	0.03643871783952887	0.005778125732495194	0.000483805737941908	0.0015	0.6496179948592237	0.00013706791212493328	0.0015
leave_out_VLP115_A	VLP115_A	interface_edge_fraction	29	29	28	7	-0.028629989894876806	0.008565702508253557	0.0008305777138780523	3.582190630806787e-05	0.0005	-0.5910210373136017	0.000735565249293676	0.001
leave_out_VLP116_D	VLP116_D	locked_fraction	29	29	28	7	0.03460995027491359	0.008800591419220242	8.400242778927521e-05	1.856791290267046e-06	0.001	0.6003705211936099	0.0005749330576243399	0.001
leave_out_VLP116_D	VLP116_D	largest_locked_domain_fraction	29	29	28	7	0.11335807231684687	0.019306560743238603	4.319234577477391e-09	2.27110364615848e-12	0.001	0.6763988691708507	5.6226928700857854e-05	0.001
leave_out_VLP116_D	VLP116_D	locked_domain_coherence	29	29	28	7	0.12293759689330681	0.027668409610932768	8.8611058591908e-06	1.0822435405263712e-07	0.0005	0.6763988691708507	5.6226928700857854e-05	0.001
leave_out_VLP116_D	VLP116_D	interface_edge_fraction	29	29	28	7	-0.031315576875124145	0.0088332583664993	0.0003923305698776501	1.3821196710791535e-05	0.001	-0.6363572725695039	0.00020660197746087423	0.001
leave_out_VLP119_A	VLP119_A	locked_fraction	29	29	28	7	0.03141842051279248	0.00801715448693553	8.895429432902525e-05	1.6756748894616486e-06	0.001	0.6313907863740373	0.0002397558392344959	0.0013333333333333333
leave_out_VLP119_A	VLP119_A	largest_locked_domain_fraction	29	29	28	7	0.09405120957585414	0.025741378452263815	0.000258490807790532	3.0132470518143298e-06	0.001	0.6805045845121942	4.8655263608633105e-05	0.0013333333333333333
leave_out_VLP119_A	VLP119_A	locked_domain_coherence	29	29	28	7	0.09862308233083927	0.03542273769364648	0.0053664157376672565	0.0004251134234890159	0.0015	0.6524033907321147	0.00012543708548840726	0.0015
leave_out_VLP119_A	VLP119_A	interface_edge_fraction	29	29	28	7	-0.027864712395268502	0.008356957300973168	0.0008551033793219924	3.6818111383372895e-05	0.001	-0.6248085247678926	0.00029089738764524075	0.0013333333333333333
leave_out_VLP119_D	VLP119_D	locked_fraction	29	29	28	7	0.031151048058750117	0.008397423581846166	0.00020759031909874033	4.662685001952998e-06	0.0005	0.6364588542440623	0.000205968486714756	0.001
leave_out_VLP119_D	VLP119_D	largest_locked_domain_fraction	29	29	28	7	0.08752532013930006	0.026370748840419914	0.0009033055734695291	2.3009957419481575e-05	0.0015	0.6478467860297413	0.00014495221558936776	0.002
leave_out_VLP119_D	VLP119_D	locked_domain_coherence	29	29	28	7	0.08860100399400353	0.03612117238070443	0.014171648647440496	0.001957695993437535	0.0045	0.6362057890932695	0.0002075498706905911	0.0045
leave_out_VLP119_D	VLP119_D	interface_edge_fraction	29	29	28	7	-0.026063922287682756	0.008333921210283146	0.0017632978082382184	0.00010486820702326161	0.0005	-0.6083686225060541	0.00046284163796005395	0.001
leave_out_VLP120_A	VLP120_A	locked_fraction	29	29	28	7	0.034902537540129994	0.008269653399739358	2.4370021073475066e-05	1.3153102888327824e-07	0.0005	0.6582689111837082	0.00010376617323920721	0.001
leave_out_VLP120_A	VLP120_A	largest_locked_domain_fraction	29	29	28	7	0.09358642321052112	0.03360379898343409	0.005352849413931943	0.00024210152981550502	0.0015	0.624720070922608	0.00029164555700621263	0.002
leave_out_VLP120_A	VLP120_A	locked_domain_coherence	29	29	28	7	0.09236362633282581	0.04545035620027957	0.042134721072332314	0.008133714970397457	0.0065	0.588121336092317	0.0007927780593010289	0.0065
leave_out_VLP120_A	VLP120_A	interface_edge_fraction	29	29	28	7	-0.030406042005267295	0.009695382607289988	0.0017118958244379844	6.339656745564096e-05	0.0005	-0.619128597545758	0.00034252657458854065	0.001
leave_out_VLP120_D	VLP120_D	locked_fraction	29	29	29	7	0.032462596946896245	0.00830412652488677	9.259740456208221e-05	1.8225354848864156e-06	0.0005	0.6187325909776051	0.0003464099506243277	0.0006666666666666666
leave_out_VLP120_D	VLP120_D	largest_locked_domain_fraction	29	29	29	7	0.09054316763208049	0.026112282711547728	0.0005254115275894769	8.997724094778692e-06	0.0015	0.6488590960211137	0.00014039821963383832	0.0015
leave_out_VLP120_D	VLP120_D	locked_domain_coherence	29	29	29	7	0.09194463474507202	0.03535887245935984	0.009313493490794057	0.0009600161113010018	0.0005	0.6303781307423229	0.00024706543593206826	0.0006666666666666666
leave_out_VLP120_D	VLP120_D	interface_edge_fraction	29	29	29	7	-0.027538073890393873	0.00832420902701113	0.0009390072386258838	4.7109538879308376e-05	0.0005	-0.6091123624763167	0.0004534678756035851	0.0006666666666666666
leave_out_VLP121_A	VLP121_A	locked_fraction	29	29	28	7	0.02989761507074172	0.007700299056340003	0.00010332153711389082	2.0298195839680532e-06	0.001	0.6945152460049331	2.9184316316623038e-05	0.001
leave_out_VLP121_A	VLP121_A	largest_locked_domain_fraction	29	29	28	7	0.09959957839478475	0.026406540298144314	0.0001620891592839749	1.2751798741388341e-06	0.0005	0.7506067856969615	2.734347385745218e-06	0.0006666666666666666
leave_out_VLP121_A	VLP121_A	locked_domain_coherence	29	29	28	7	0.10844030224758656	0.035228465719885964	0.002082543213450493	8.151151014008993e-05	0.0005	0.7128724771768696	1.4289353750303566e-05	0.0006666666666666666
leave_out_VLP121_A	VLP121_A	interface_edge_fraction	29	29	28	7	-0.027395755336671702	0.008337999831872162	0.0010174708342360463	4.692767578369e-05	0.0005	-0.6328145523437019	0.0002298020493437274	0.0006666666666666666
leave_out_VLP121_D	VLP121_D	locked_fraction	28	28	27	7	0.03325467386929405	0.010274467651324873	0.0012094914676357863	5.1278132163886856e-05	0.001	0.5684755938370202	0.0015984073496643995	0.002
leave_out_VLP121_D	VLP121_D	largest_locked_domain_fraction	28	28	27	7	0.09332898871434908	0.033120730589138614	0.004834758111422451	0.00016734163874330545	0.0025	0.6139197699084006	0.0005112344319994489	0.0033333333333333335
leave_out_VLP121_D	VLP121_D	locked_domain_coherence	28	28	27	7	0.09346815241207203	0.043205731740251066	0.0305159909106348	0.0041277451199398674	0.011	0.5902097650015934	0.0009462281338034456	0.011
leave_out_VLP121_D	VLP121_D	interface_edge_fraction	28	28	27	7	-0.031736834959632594	0.009397792444899158	0.0007326716386957857	1.0106912697208329e-05	0.0005	-0.616460127576987	0.00047720593688835056	0.002
