scenario	metric	n_units	n_biopsies	n_patients	n_arrays	stage_beta_array_adjusted	stage_beta_se_hc3	hc3_p_value	patient_cluster_p_value	within_array_permutation_p	spearman_rho	spearman_p_value	permutation_fdr
registered_biopsy_all	locked_fraction	33	33	32	8	0.03243871913389098	0.007845394308650935	3.553461718547866e-05	4.819730206140662e-07	0.0001	0.625235989768342	0.00010012679857715094	0.0002
registered_biopsy_all	largest_locked_domain_fraction	33	33	32	8	0.09603914800529065	0.025213952123085668	0.00013954776364168145	1.4218007722536753e-06	0.0003	0.6661168044839644	2.3233762701787604e-05	0.00039999999999999996
registered_biopsy_all	locked_domain_coherence	33	33	32	8	0.0997187593043891	0.034171538258863876	0.003520790685010989	0.00024666629629747455	0.0009	0.6427563389321802	5.494690318457969e-05	0.0009
registered_biopsy_all	interface_edge_fraction	33	33	32	8	-0.028733200324141162	0.008048447020384287	0.0003569398378699087	1.0948585848420734e-05	0.0001	-0.6173346558317091	0.00012971777629381808	0.0002
registered_biopsy_no_fragment_rescue	locked_fraction	33	33	32	8	0.03174354598771453	0.007856586386990954	5.336607009917123e-05	9.021356368053652e-07	0.0003	0.5977530891191841	0.00023936557168578975	0.00039999999999999996
registered_biopsy_no_fragment_rescue	largest_locked_domain_fraction	33	33	32	8	0.09727096797069296	0.025750412532538396	0.00015844051875435572	1.7404901582695138e-06	0.0003	0.6564977892567592	3.3412205278929236e-05	0.00039999999999999996
registered_biopsy_no_fragment_rescue	locked_domain_coherence	33	33	32	8	0.10192144332321097	0.03494699335230376	0.003540302227491767	0.0002455393462410101	0.0008	0.6558655206278727	3.4204459660299495e-05	0.0008
registered_biopsy_no_fragment_rescue	interface_edge_fraction	33	33	32	8	-0.02841471865118748	0.007937100028305479	0.00034361068332842043	1.063231344685454e-05	0.0001	-0.6145863657667934	0.00014171212949030092	0.00039999999999999996
geometry_component_split_all	locked_fraction	43	33	32	8	0.026289524019493637	0.00821035661775508	0.0013647918338750159	0.00044019324480257715	0.0065	0.4323932947946802	0.003783082277216579	0.0162
geometry_component_split_all	largest_locked_domain_fraction	43	33	32	8	0.07043416780347814	0.02504235138650379	0.004914243354830355	0.0011217458515367458	0.0081	0.4115373155406424	0.006110983370568862	0.0162
geometry_component_split_all	locked_domain_coherence	43	33	32	8	0.07011193957784202	0.03292819612692095	0.03323464196844317	0.011766640541962185	0.0261	0.34271559820977626	0.024466139167885665	0.0311
geometry_component_split_all	interface_edge_fraction	43	33	32	8	-0.023153962464091883	0.009155316126930518	0.011438204759180625	0.002124388401783843	0.0311	-0.4489075088508514	0.002532400131169454	0.0311
geometry_component_split_no_fragment_rescue	locked_fraction	43	33	32	8	0.02559541718698103	0.00808376300947284	0.0015440471502183332	0.0005842354742713699	0.0077	0.41525882856738516	0.005621951240879601	0.0154
geometry_component_split_no_fragment_rescue	largest_locked_domain_fraction	43	33	32	8	0.072192275987149	0.025438558806885364	0.004541034509500409	0.0010164592568559989	0.007	0.43650246542837534	0.0034298019242236157	0.0154
geometry_component_split_no_fragment_rescue	locked_domain_coherence	43	33	32	8	0.07313256683790904	0.03345290151957716	0.028805712581628687	0.00950643312410705	0.0204	0.38382334342222235	0.011057270811458063	0.027200000000000002
geometry_component_split_no_fragment_rescue	interface_edge_fraction	43	33	32	8	-0.02274588819586682	0.009075772280951352	0.012202943044265321	0.002375819894749927	0.0325	-0.4471242838588705	0.0026470996498295183	0.0325
exclude_inferred_synchronous_pair	locked_fraction	31	31	31	8	0.032473538777367306	0.008217285096294286	7.754695339538778e-05	1.8260376866214423e-06	0.0005	0.6103135110272215	0.0002665978752102941	0.0006666666666666666
exclude_inferred_synchronous_pair	largest_locked_domain_fraction	31	31	31	8	0.09038386748796808	0.0258175905225753	0.00046375282717775836	9.37133595543571e-06	0.0005	0.6413674549397328	0.0001010543330171768	0.0006666666666666666
exclude_inferred_synchronous_pair	locked_domain_coherence	31	31	31	8	0.09183053624686402	0.034965870169486976	0.008632108576614391	0.0009777168169254355	0.0043	0.6231491411777261	0.0001807796202790417	0.0043
exclude_inferred_synchronous_pair	interface_edge_fraction	31	31	31	8	-0.02800013638762627	0.008275397246231442	0.0007155782117498351	3.752303522932706e-05	0.0003	-0.6078291955142205	0.00028686309430395125	0.0006666666666666666
exclude_all_multicomponent_biopsies	locked_fraction	26	26	25	8	0.04013290361578649	0.008069357255321291	6.575665346121842e-07	1.4283275422853337e-10	0.0001	0.743321060134342	1.3572958750581133e-05	0.0002
exclude_all_multicomponent_biopsies	largest_locked_domain_fraction	26	26	25	8	0.10745585881205949	0.029128186542153416	0.00022507712306421226	5.490827270190565e-07	0.0002	0.8094878969266034	5.500831103452181e-07	0.0002666666666666667
exclude_all_multicomponent_biopsies	locked_domain_coherence	26	26	25	8	0.10933636964171264	0.03883848266938813	0.004875363113472985	0.00016495730642388944	0.0006	0.7813317961639389	2.4588243581773714e-06	0.0006
exclude_all_multicomponent_biopsies	interface_edge_fraction	26	26	25	8	-0.03358168150339014	0.008841564903422475	0.00014577399390420284	2.010945908400011e-06	0.0001	-0.6989752014331453	7.115778334351193e-05	0.0002
